$ python tools/clrmeta.py TheWardrobe --census

binaries examined : 161
managed           : 143
native            : 18

file                                            bytes format runtime    #Strings        #US
The Wardrobe_Data\Managed\UnityEngine.ShaderVariantAnalyticsModule.dll      24496 PE32   v4.0.30319        404          0
The Wardrobe_Data\Managed\UnityEngine.SharedInternalsModule.dll      37800 PE32   v4.0.30319       4256        132
The Wardrobe_Data\Managed\UnityEngine.SpatialTracking.dll      11776 PE32   v4.0.30319       2764        320
The Wardrobe_Data\Managed\UnityEngine.SpriteMaskModule.dll      28592 PE32   v4.0.30319       1876          0
The Wardrobe_Data\Managed\UnityEngine.SpriteShapeModule.dll      31664 PE32   v4.0.30319       2656          0
The Wardrobe_Data\Managed\UnityEngine.StreamingModule.dll      25520 PE32   v4.0.30319        908          0
The Wardrobe_Data\Managed\UnityEngine.SubstanceModule.dll      29104 PE32   v4.0.30319       2068        420
The Wardrobe_Data\Managed\UnityEngine.SubsystemsModule.dll      41904 PE32   v4.0.30319       4712        600
The Wardrobe_Data\Managed\UnityEngine.TLSModule.dll      31144 PE32   v4.0.30319       4040          0
The Wardrobe_Data\Managed\UnityEngine.TerrainModule.dll     133032 PE32   v4.0.30319      27716       5592
The Wardrobe_Data\Managed\UnityEngine.TerrainPhysicsModule.dll      25520 PE32   v4.0.30319        836          0
The Wardrobe_Data\Managed\UnityEngine.TextCoreFontEngineModule.dll      81840 PE32   v4.0.30319      16864          0
The Wardrobe_Data\Managed\UnityEngine.TextCoreTextEngineModule.dll     327600 PE32   v4.0.30319      40448      19388
The Wardrobe_Data\Managed\UnityEngine.TextRenderingModule.dll      39336 PE32   v4.0.30319       6412        724
The Wardrobe_Data\Managed\UnityEngine.TilemapModule.dll      57776 PE32   v4.0.30319       9160         68
The Wardrobe_Data\Managed\UnityEngine.UI.dll     276480 PE32   v4.0.30319      47208       8256
The Wardrobe_Data\Managed\UnityEngine.UIElementsModule.dll    2418608 PE32   v4.0.30319     283648     113440
The Wardrobe_Data\Managed\UnityEngine.UIModule.dll      49584 PE32   v4.0.30319       8188          0
The Wardrobe_Data\Managed\UnityEngine.UmbraModule.dll      24488 PE32   v4.0.30319        372          0
The Wardrobe_Data\Managed\UnityEngine.UnityAnalyticsCommonModule.dll      35760 PE32   v4.0.30319       4292       1128
The Wardrobe_Data\Managed\UnityEngine.UnityAnalyticsModule.dll      60848 PE32   v4.0.30319       7528       1004
The Wardrobe_Data\Managed\UnityEngine.UnityConnectModule.dll      27560 PE32   v4.0.30319       1328          0
The Wardrobe_Data\Managed\UnityEngine.UnityConsentModule.dll      16304 PE32   v4.0.30319       1004         92
The Wardrobe_Data\Managed\UnityEngine.UnityCurlModule.dll      26032 PE32   v4.0.30319       1072          0
The Wardrobe_Data\Managed\UnityEngine.UnityWebRequestAssetBundleModule.dll      28584 PE32   v4.0.30319       1576        212
The Wardrobe_Data\Managed\UnityEngine.UnityWebRequestAudioModule.dll      28072 PE32   v4.0.30319       1612        300
The Wardrobe_Data\Managed\UnityEngine.UnityWebRequestModule.dll      69032 PE32   v4.0.30319       8500       4052
The Wardrobe_Data\Managed\UnityEngine.UnityWebRequestTextureModule.dll      27568 PE32   v4.0.30319       1416         12
The Wardrobe_Data\Managed\UnityEngine.UnityWebRequestWWWModule.dll      36272 PE32   v4.0.30319       2724        752
The Wardrobe_Data\Managed\UnityEngine.VFXModule.dll      78256 PE32   v4.0.30319      12532       1084
The Wardrobe_Data\Managed\UnityEngine.VRModule.dll      31656 PE32   v4.0.30319       2576        328
The Wardrobe_Data\Managed\UnityEngine.VectorGraphicsModule.dll     252336 PE32   v4.0.30319      24228       8792
The Wardrobe_Data\Managed\UnityEngine.VehiclesModule.dll      31144 PE32   v4.0.30319       2700          0
The Wardrobe_Data\Managed\UnityEngine.VideoModule.dll      49064 PE32   v4.0.30319       9452       1928
The Wardrobe_Data\Managed\UnityEngine.VirtualTexturingModule.dll      42920 PE32   v4.0.30319       4964       1572
The Wardrobe_Data\Managed\UnityEngine.WindModule.dll      26536 PE32   v4.0.30319       1104          0
The Wardrobe_Data\Managed\UnityEngine.XR.LegacyInputHelpers.dll      23552 PE32   v4.0.30319       6180        740
The Wardrobe_Data\Managed\UnityEngine.XRModule.dll      87976 PE32   v4.0.30319      15716       2824
The Wardrobe_Data\Managed\UnityEngine.dll      196520 PE32   v4.0.30319      89136          4
The Wardrobe_Data\Managed\UsersImport.dll       41984 PE32   v2.0.50727      12064        144
The Wardrobe_Data\Managed\XboxOneCommonImport.dll      28160 PE32   v2.0.50727       6552          8
The Wardrobe_Data\Managed\mscorlib.dll        4632064 PE32   v4.0.30319     443220     261584
The Wardrobe_Data\Managed\netstandard.dll       90112 PE32   v4.0.30319      48632          4
The Wardrobe_Data\Plugins\ARM64\Rewired_DirectInput.dll      96768 PE32+  native            -          -
The Wardrobe_Data\Plugins\ARM64\Rewired_WindowsGamingInput.dll     147456 PE32+  native            -          -
The Wardrobe_Data\Plugins\x86_64\CSteamworks.dll     169472 PE32+  native            -          -
The Wardrobe_Data\Plugins\x86_64\Rewired_DirectInput.dll     107008 PE32+  native            -          -
The Wardrobe_Data\Plugins\x86_64\Rewired_WindowsGamingInput.dll     153088 PE32+  native            -          -
The Wardrobe_Data\Plugins\x86_64\fmod.dll     1642496 PE32+  native            -          -
The Wardrobe_Data\Plugins\x86_64\fmodl.dll    1810944 PE32+  native            -          -
The Wardrobe_Data\Plugins\x86_64\fmodstudio.dll    3160576 PE32+  native            -          -
The Wardrobe_Data\Plugins\x86_64\gvraudio.dll     999936 PE32+  native            -          -
The Wardrobe_Data\Plugins\x86_64\lib_burst_generated.dll     443392 PE32+  native            -          -
The Wardrobe_Data\Plugins\x86_64\resonanceaudio.dll     816640 PE32+  native            -          -
The Wardrobe_Data\Plugins\x86_64\steam_api64.dll     262944 PE32+  native            -          -

#Strings total : 5111868 bytes of UTF-8 names
#US total      : 2198840 bytes of UTF-16 string literals
runtime versions : {'v2.0.50727': 5, 'v4.0.30319': 138}
