$ python tools/pecensus.py TheWardrobe

path                                              fmt     kind      bytes     linker COFF (UTC)          mtime (local)       CompanyName / module
---------------------------------------------- ------ -------- ---------- ---------- ------------------- ------------------- ------------------------------
be_Data/Managed/UnityEngine.DSPGraphModule.dll   PE32  managed      31656   csc 8.00 hash 0x915ED605     2026-06-05 17:02:31 
be_Data/Managed/UnityEngine.DirectorModule.dll   PE32  managed      41392   csc 8.00 hash 0x89665AEA     2026-06-05 17:02:33 
Wardrobe_Data/Managed/UnityEngine.GIModule.dll   PE32  managed      24496   csc 8.00 hash 0xC32F30F9     2026-06-05 17:02:42 
_Data/Managed/UnityEngine.GameCenterModule.dll   PE32  managed      45480   csc 8.00 hash 0xD328BC36     2026-06-05 17:02:42 
ne.GraphicsStateCollectionSerializerModule.dll   PE32  managed      14256   csc 8.00 hash 0xB951037E     2026-06-05 17:02:32 
rdrobe_Data/Managed/UnityEngine.GridModule.dll   PE32  managed      30120   csc 8.00 hash 0xC138748C     2026-06-05 17:02:32 
ta/Managed/UnityEngine.HierarchyCoreModule.dll   PE32  managed     109488   csc 8.00 hash 0xA3963037     2026-06-05 17:02:43 
e_Data/Managed/UnityEngine.HierarchyModule.dll   PE32  managed     102312   csc 8.00 hash 0xB80DA205     2026-06-05 17:02:31 
e_Data/Managed/UnityEngine.HotReloadModule.dll   PE32  managed      24496   csc 8.00 hash 0xD1FC694A     2026-06-05 17:02:42 
drobe_Data/Managed/UnityEngine.IMGUIModule.dll   PE32  managed     213928   csc 8.00 hash 0x89EF8864     2026-06-05 17:02:32 
Data/Managed/UnityEngine.IdentifiersModule.dll   PE32  managed      14760   csc 8.00 hash 0xBDD6BD15     2026-06-05 17:02:32 
/Managed/UnityEngine.ImageConversionModule.dll   PE32  managed      31152   csc 8.00 hash 0xB8886E3D     2026-06-05 17:02:31 
_Data/Managed/UnityEngine.InputForUIModule.dll   PE32  managed      57768   csc 8.00 hash 0xB42AE80F     2026-06-05 17:02:42 
Data/Managed/UnityEngine.InputLegacyModule.dll   PE32  managed      45488   csc 8.00 hash 0x886791E3     2026-06-05 17:02:33 
drobe_Data/Managed/UnityEngine.InputModule.dll   PE32  managed      28072   csc 8.00 hash 0xB2EEAD98     2026-06-05 17:02:42 
be_Data/Managed/UnityEngine.InsightsModule.dll   PE32  managed      14256   csc 8.00 hash 0xC3465440     2026-06-05 17:02:31 
